station,station_name,day,year,DOY,gdd_40_86,cumGDD
IA4502,KNOXVILLE,2003-03-18,2003,77,16.5,155
IA4502,KNOXVILLE,2003-03-19,2003,78,23.5,178.5
IA4502,KNOXVILLE,2003-03-20,2003,79,2,180.5
IA4502,KNOXVILLE,2003-03-21,2003,80,2.5,183
IA4502,KNOXVILLE,2003-03-22,2003,81,4.5,187.5
IA4502,KNOXVILLE,2003-03-23,2003,82,10,197.5
IA4502,KNOXVILLE,2003-03-24,2003,83,17.5,215
IA4502,KNOXVILLE,2003-03-25,2003,84,16,231
IA4502,KNOXVILLE,2003-03-26,2003,85,11,242
IA4502,KNOXVILLE,2003-03-27,2003,86,12,254
IA4502,KNOXVILLE,2003-03-28,2003,87,12,266
IA4502,KNOXVILLE,2003-03-29,2003,88,0.5,266.5
IA4502,KNOXVILLE,2003-03-30,2003,89,1.5,268
IA4502,KNOXVILLE,2003-03-31,2003,90,5,273
IA4502,KNOXVILLE,2003-04-01,2003,91,16.5,289.5
IA4502,KNOXVILLE,2003-04-02,2003,92,31,320.5
IA4502,KNOXVILLE,2003-04-03,2003,93,29,349.5
IA4502,KNOXVILLE,2003-04-04,2003,94,17.5,367
IA4502,KNOXVILLE,2003-04-05,2003,95,0,367
IA4502,KNOXVILLE,2003-04-06,2003,96,0,367
IA4502,KNOXVILLE,2003-04-07,2003,97,0,367
IA4502,KNOXVILLE,2003-04-08,2003,98,0,367
IA4502,KNOXVILLE,2003-04-09,2003,99,0,367
IA4502,KNOXVILLE,2003-04-10,2003,100,8,375
IA4502,KNOXVILLE,2003-04-11,2003,101,14,389
IA4502,KNOXVILLE,2003-04-12,2003,102,21,410
IA4502,KNOXVILLE,2003-04-13,2003,103,20,430
IA4502,KNOXVILLE,2003-04-14,2003,104,20.5,450.5
IA4502,KNOXVILLE,2003-04-15,2003,105,32.5,483
IA4502,KNOXVILLE,2003-04-16,2003,106,33.5,516.5
IA4502,KNOXVILLE,2003-04-17,2003,107,17,533.5
IA4502,KNOXVILLE,2003-04-18,2003,108,5,538.5
IA4502,KNOXVILLE,2003-04-19,2003,109,10.5,549
IA4502,KNOXVILLE,2003-04-20,2003,110,12,561
IA4502,KNOXVILLE,2003-04-21,2003,111,16.5,577.5
IA4502,KNOXVILLE,2003-04-22,2003,112,12,589.5
IA4502,KNOXVILLE,2003-04-23,2003,113,13.5,603
IA4502,KNOXVILLE,2003-04-24,2003,114,17,620
IA4502,KNOXVILLE,2003-04-25,2003,115,10,630
IA4502,KNOXVILLE,2003-04-26,2003,116,17,647
IA4502,KNOXVILLE,2003-04-27,2003,117,18.5,665.5
IA4502,KNOXVILLE,2003-04-28,2003,118,25.5,691
IA4502,KNOXVILLE,2003-04-29,2003,119,20,711
IA4502,KNOXVILLE,2003-04-30,2003,120,13,724
IA4502,KNOXVILLE,2003-05-01,2003,121,18.5,742.5
IA4502,KNOXVILLE,2003-05-02,2003,122,15,757.5
IA4502,KNOXVILLE,2003-05-03,2003,123,18,775.5
IA4502,KNOXVILLE,2003-05-04,2003,124,18.5,794
IA4502,KNOXVILLE,2003-05-05,2003,125,13.5,807.5
IA4502,KNOXVILLE,2003-05-06,2003,126,16,823.5
IA4502,KNOXVILLE,2003-05-07,2003,127,20.5,844
IA4502,KNOXVILLE,2003-05-08,2003,128,15.5,859.5
IA4502,KNOXVILLE,2003-05-09,2003,129,16,875.5
IA4502,KNOXVILLE,2003-05-10,2003,130,25,900.5
IA4502,KNOXVILLE,2003-05-11,2003,131,19,919.5
IA4502,KNOXVILLE,2003-05-12,2003,132,12,931.5
IA4502,KNOXVILLE,2003-05-13,2003,133,17,948.5
IA4502,KNOXVILLE,2003-05-14,2003,134,22,970.5
IA4502,KNOXVILLE,2003-05-15,2003,135,22.5,993
IA4502,KNOXVILLE,2003-05-16,2003,136,17,1010
IA4502,KNOXVILLE,2003-05-17,2003,137,18.5,1028.5
IA4502,KNOXVILLE,2003-05-18,2003,138,22.5,1051
IA4502,KNOXVILLE,2003-05-19,2003,139,21.5,1072.5
IA4502,KNOXVILLE,2003-05-20,2003,140,21,1093.5
IA4502,KNOXVILLE,2003-05-21,2003,141,13.5,1107
IA4502,KNOXVILLE,2003-05-22,2003,142,16,1123
IA4502,KNOXVILLE,2003-05-23,2003,143,20,1143
IA4502,KNOXVILLE,2003-05-24,2003,144,21,1164
IA4502,KNOXVILLE,2003-05-25,2003,145,18.5,1182.5
IA4502,KNOXVILLE,2003-05-26,2003,146,23,1205.5
IA4502,KNOXVILLE,2003-05-27,2003,147,22.5,1228
IA4502,KNOXVILLE,2003-05-28,2003,148,27.5,1255.5
IA4502,KNOXVILLE,2003-05-29,2003,149,27.5,1283
IA4502,KNOXVILLE,2003-05-30,2003,150,27.5,1310.5
IA4502,KNOXVILLE,2003-05-31,2003,151,30,1340.5
IA4502,KNOXVILLE,2003-06-01,2003,152,23.5,1364
IA4502,KNOXVILLE,2003-06-02,2003,153,23.5,1387.5
IA4502,KNOXVILLE,2003-06-03,2003,154,14,1401.5
IA4502,KNOXVILLE,2003-06-04,2003,155,16.5,1418
IA4502,KNOXVILLE,2003-06-05,2003,156,23.5,1441.5
IA4502,KNOXVILLE,2003-06-06,2003,157,25,1466.5
IA4502,KNOXVILLE,2003-06-07,2003,158,22.5,1489
IA4502,KNOXVILLE,2003-06-08,2003,159,24,1513
IA4502,KNOXVILLE,2003-06-09,2003,160,27,1540
IA4502,KNOXVILLE,2003-06-10,2003,161,29,1569
IA4502,KNOXVILLE,2003-06-11,2003,162,28.5,1597.5
IA4502,KNOXVILLE,2003-06-12,2003,163,26.5,1624
IA4502,KNOXVILLE,2003-06-13,2003,164,34.5,1658.5
IA4502,KNOXVILLE,2003-06-14,2003,165,32.5,1691
IA4502,KNOXVILLE,2003-06-15,2003,166,32.5,1723.5
IA4502,KNOXVILLE,2003-06-16,2003,167,32.5,1756
IA4502,KNOXVILLE,2003-06-17,2003,168,35,1791
IA4502,KNOXVILLE,2003-06-18,2003,169,35,1826
IA4502,KNOXVILLE,2003-06-19,2003,170,32.5,1858.5
IA4502,KNOXVILLE,2003-06-20,2003,171,26.5,1885
IA4502,KNOXVILLE,2003-06-21,2003,172,26.5,1911.5
IA4502,KNOXVILLE,2003-06-22,2003,173,30,1941.5
IA4502,KNOXVILLE,2003-06-23,2003,174,34,1975.5
IA4502,KNOXVILLE,2003-06-24,2003,175,38,2013.5
IA4502,KNOXVILLE,2003-06-25,2003,176,40.5,2054
IA4502,KNOXVILLE,2003-06-26,2003,177,30.5,2084.5
IA4502,KNOXVILLE,2003-06-27,2003,178,25,2109.5
IA4502,KNOXVILLE,2003-06-28,2003,179,32.5,2142
IA4502,KNOXVILLE,2003-06-29,2003,180,32.5,2174.5
IA4502,KNOXVILLE,2003-06-30,2003,181,31,2205.5
IA4502,KNOXVILLE,2003-07-01,2003,182,32.5,2238
IA4502,KNOXVILLE,2003-07-02,2003,183,36.5,2274.5
IA4502,KNOXVILLE,2003-07-03,2003,184,37.5,2312
IA4502,KNOXVILLE,2003-07-04,2003,185,39.5,2351.5
IA4502,KNOXVILLE,2003-07-05,2003,186,36.5,2388
IA4502,KNOXVILLE,2003-07-06,2003,187,36.5,2424.5
IA4502,KNOXVILLE,2003-07-07,2003,188,37.5,2462
IA4502,KNOXVILLE,2003-07-08,2003,189,32,2494
IA4502,KNOXVILLE,2003-07-09,2003,190,32,2526
IA4502,KNOXVILLE,2003-07-10,2003,191,34,2560
IA4502,KNOXVILLE,2003-07-11,2003,192,28,2588
IA4502,KNOXVILLE,2003-07-12,2003,193,30.5,2618.5
IA4502,KNOXVILLE,2003-07-13,2003,194,30.5,2649
IA4502,KNOXVILLE,2003-07-14,2003,195,34.5,2683.5
IA4502,KNOXVILLE,2003-07-15,2003,196,36.5,2720
IA4502,KNOXVILLE,2003-07-16,2003,197,33.5,2753.5
IA4502,KNOXVILLE,2003-07-17,2003,198,35,2788.5
IA4502,KNOXVILLE,2003-07-18,2003,199,39.5,2828
IA4502,KNOXVILLE,2003-07-19,2003,200,31.5,2859.5
IA4502,KNOXVILLE,2003-07-20,2003,201,33.5,2893
IA4502,KNOXVILLE,2003-07-21,2003,202,35.5,2928.5
IA4502,KNOXVILLE,2003-07-22,2003,203,30,2958.5
IA4502,KNOXVILLE,2003-07-23,2003,204,26,2984.5
IA4502,KNOXVILLE,2003-07-24,2003,205,28,3012.5
IA4502,KNOXVILLE,2003-07-25,2003,206,32,3044.5
IA4502,KNOXVILLE,2003-07-26,2003,207,36.5,3081
IA4502,KNOXVILLE,2003-07-27,2003,208,39.5,3120.5
IA4502,KNOXVILLE,2003-07-28,2003,209,36.5,3157
IA4502,KNOXVILLE,2003-07-29,2003,210,33,3190
IA4502,KNOXVILLE,2003-07-30,2003,211,34.5,3224.5
IA4502,KNOXVILLE,2003-07-31,2003,212,36,3260.5
IA4502,KNOXVILLE,2003-08-01,2003,213,36,3296.5
IA4502,KNOXVILLE,2003-08-02,2003,214,32,3328.5
IA4502,KNOXVILLE,2003-08-03,2003,215,32,3360.5
IA4502,KNOXVILLE,2003-08-04,2003,216,31.5,3392
IA4502,KNOXVILLE,2003-08-05,2003,217,31.5,3423.5
IA4502,KNOXVILLE,2003-08-06,2003,218,32,3455.5
IA4502,KNOXVILLE,2003-08-07,2003,219,33,3488.5
IA4502,KNOXVILLE,2003-08-08,2003,220,33,3521.5
IA4502,KNOXVILLE,2003-08-09,2003,221,32.5,3554
IA4502,KNOXVILLE,2003-08-10,2003,222,32,3586
IA4502,KNOXVILLE,2003-08-11,2003,223,34.5,3620.5
IA4502,KNOXVILLE,2003-08-12,2003,224,33.5,3654
IA4502,KNOXVILLE,2003-08-13,2003,225,34.5,3688.5
IA4502,KNOXVILLE,2003-08-14,2003,226,33,3721.5
IA4502,KNOXVILLE,2003-08-15,2003,227,34,3755.5
IA4502,KNOXVILLE,2003-08-16,2003,228,38.5,3794
IA4502,KNOXVILLE,2003-08-17,2003,229,37,3831
IA4502,KNOXVILLE,2003-08-18,2003,230,39.5,3870.5
IA4502,KNOXVILLE,2003-08-19,2003,231,40,3910.5
IA4502,KNOXVILLE,2003-08-20,2003,232,40,3950.5
IA4502,KNOXVILLE,2003-08-21,2003,233,40.5,3991
IA4502,KNOXVILLE,2003-08-22,2003,234,35.5,4026.5
IA4502,KNOXVILLE,2003-08-23,2003,235,33,4059.5
IA4502,KNOXVILLE,2003-08-24,2003,236,35,4094.5
IA4502,KNOXVILLE,2003-08-25,2003,237,37.5,4132
IA4502,KNOXVILLE,2003-08-26,2003,238,40.5,4172.5
IA4502,KNOXVILLE,2003-08-27,2003,239,38.5,4211
IA4502,KNOXVILLE,2003-08-28,2003,240,38,4249
IA4502,KNOXVILLE,2003-08-29,2003,241,35.5,4284.5
IA4502,KNOXVILLE,2003-08-30,2003,242,29.5,4314
IA4502,KNOXVILLE,2003-08-31,2003,243,28,4342
IA4502,KNOXVILLE,2003-09-01,2003,244,20,4362
IA4502,KNOXVILLE,2003-09-02,2003,245,20,4382
IA4502,KNOXVILLE,2003-09-03,2003,246,30,4412
IA4502,KNOXVILLE,2003-09-04,2003,247,30,4442
IA4502,KNOXVILLE,2003-09-05,2003,248,28,4470
IA4502,KNOXVILLE,2003-09-06,2003,249,24.5,4494.5
IA4502,KNOXVILLE,2003-09-07,2003,250,32.5,4527
IA4502,KNOXVILLE,2003-09-08,2003,251,33,4560
IA4502,KNOXVILLE,2003-09-09,2003,252,33,4593
IA4502,KNOXVILLE,2003-09-10,2003,253,33,4626
IA4502,KNOXVILLE,2003-09-11,2003,254,33,4659
IA4502,KNOXVILLE,2003-09-12,2003,255,34,4693
IA4502,KNOXVILLE,2003-09-13,2003,256,33,4726
IA4502,KNOXVILLE,2003-09-14,2003,257,25,4751
IA4502,KNOXVILLE,2003-09-15,2003,258,19.5,4770.5
IA4502,KNOXVILLE,2003-09-16,2003,259,21.5,4792
IA4502,KNOXVILLE,2003-09-17,2003,260,28.5,4820.5
IA4502,KNOXVILLE,2003-09-18,2003,261,29,4849.5
IA4502,KNOXVILLE,2003-09-19,2003,262,31.5,4881
IA4502,KNOXVILLE,2003-09-20,2003,263,19.5,4900.5
IA4502,KNOXVILLE,2003-09-21,2003,264,13,4913.5
IA4502,KNOXVILLE,2003-09-22,2003,265,15,4928.5
IA4502,KNOXVILLE,2003-09-23,2003,266,16.5,4945
IA4502,KNOXVILLE,2003-09-24,2003,267,15.5,4960.5
IA4502,KNOXVILLE,2003-09-25,2003,268,19,4979.5
IA4502,KNOXVILLE,2003-09-26,2003,269,15,4994.5
IA4502,KNOXVILLE,2003-09-27,2003,270,14,5008.5
IA4502,KNOXVILLE,2003-09-28,2003,271,16.5,5025
IA4502,KNOXVILLE,2003-09-29,2003,272,8.5,5033.5
IA4502,KNOXVILLE,2003-09-30,2003,273,11,5044.5
IA4502,KNOXVILLE,2003-10-01,2003,274,9,5053.5
IA4502,KNOXVILLE,2003-10-02,2003,275,7.5,5061
IA4502,KNOXVILLE,2003-10-03,2003,276,9.5,5070.5
IA4502,KNOXVILLE,2003-10-04,2003,277,16.5,5087
IA4502,KNOXVILLE,2003-10-05,2003,278,18,5105
IA4502,KNOXVILLE,2003-10-06,2003,279,23,5128
IA4502,KNOXVILLE,2003-10-07,2003,280,25,5153
IA4502,KNOXVILLE,2003-10-08,2003,281,27,5180
IA4502,KNOXVILLE,2003-10-09,2003,282,28.5,5208.5
IA4502,KNOXVILLE,2003-10-10,2003,283,27.5,5236
IA4502,KNOXVILLE,2003-10-11,2003,284,26,5262
IA4502,KNOXVILLE,2003-10-12,2003,285,18.5,5280.5
IA4502,KNOXVILLE,2003-10-13,2003,286,16.5,5297
IA4502,KNOXVILLE,2003-10-14,2003,287,18,5315
IA4502,KNOXVILLE,2003-10-15,2003,288,12,5327
IA4502,KNOXVILLE,2003-10-16,2003,289,11.5,5338.5
IA4502,KNOXVILLE,2003-10-17,2003,290,3.5,5342
IA4502,KNOXVILLE,2003-10-18,2003,291,10,5352
IA4502,KNOXVILLE,2003-10-19,2003,292,22.5,5374.5
IA4502,KNOXVILLE,2003-10-20,2003,293,28,5402.5
IA4502,KNOXVILLE,2003-10-21,2003,294,28,5430.5
IA4502,KNOXVILLE,2003-10-22,2003,295,18,5448.5
IA4502,KNOXVILLE,2003-10-23,2003,296,18,5466.5
IA4502,KNOXVILLE,2003-10-24,2003,297,14,5480.5
IA4502,KNOXVILLE,2003-10-25,2003,298,14.5,5495
IA4502,KNOXVILLE,2003-10-26,2003,299,8,5503
IA4502,KNOXVILLE,2003-10-27,2003,300,1,5504
IA4502,KNOXVILLE,2003-10-28,2003,301,5.5,5509.5
IA4502,KNOXVILLE,2003-10-29,2003,302,4,5513.5
IA4502,KNOXVILLE,2003-10-30,2003,303,7.5,5521
IA4502,KNOXVILLE,2003-10-31,2003,304,15.5,5536.5
IA4502,KNOXVILLE,2003-11-01,2003,305,3,5539.5
IA4502,KNOXVILLE,2003-11-02,2003,306,0,5539.5
IA4502,KNOXVILLE,2003-11-03,2003,307,1,5540.5
IA4502,KNOXVILLE,2003-11-04,2003,308,4,5544.5
IA4502,KNOXVILLE,2003-11-05,2003,309,4.5,5549
IA4502,KNOXVILLE,2003-11-06,2003,310,0,5549
IA4502,KNOXVILLE,2003-11-07,2003,311,0,5549
IA4502,KNOXVILLE,2003-11-08,2003,312,0,5549
IA4502,KNOXVILLE,2003-11-09,2003,313,0,5549
IA4502,KNOXVILLE,2003-11-10,2003,314,2.5,5551.5
IA4502,KNOXVILLE,2003-11-11,2003,315,5.5,5557
IA4502,KNOXVILLE,2003-11-12,2003,316,14.5,5571.5
IA4502,KNOXVILLE,2003-11-13,2003,317,5,5576.5
IA4502,KNOXVILLE,2003-11-14,2003,318,1,5577.5
IA4502,KNOXVILLE,2003-11-15,2003,319,3,5580.5
IA4502,KNOXVILLE,2003-11-16,2003,320,4,5584.5
IA4502,KNOXVILLE,2003-11-17,2003,321,9,5593.5
IA4502,KNOXVILLE,2003-11-18,2003,322,9,5602.5
IA4502,KNOXVILLE,2003-11-19,2003,323,7.5,5610
IA4502,KNOXVILLE,2003-11-20,2003,324,12,5622
IA4502,KNOXVILLE,2003-11-21,2003,325,16,5638
IA4502,KNOXVILLE,2003-11-22,2003,326,3.5,5641.5
IA4502,KNOXVILLE,2003-11-23,2003,327,0.5,5642
IA4502,KNOXVILLE,2003-11-24,2003,328,0,5642
IA4502,KNOXVILLE,2003-11-25,2003,329,0,5642
IA4502,KNOXVILLE,2003-11-26,2003,330,1.5,5643.5
IA4502,KNOXVILLE,2003-11-27,2003,331,2.5,5646
IA4502,KNOXVILLE,2003-11-28,2003,332,2.5,5648.5
IA4502,KNOXVILLE,2003-11-29,2003,333,0,5648.5
IA4502,KNOXVILLE,2003-11-30,2003,334,6,5654.5
IA4502,KNOXVILLE,2003-12-01,2003,335,11.5,5666
IA4502,KNOXVILLE,2003-12-02,2003,336,4,5670
IA4502,KNOXVILLE,2003-12-03,2003,337,0,5670
IA4502,KNOXVILLE,2003-12-04,2003,338,1,5671
IA4502,KNOXVILLE,2003-12-05,2003,339,0,5671
IA4502,KNOXVILLE,2003-12-06,2003,340,0,5671
IA4502,KNOXVILLE,2003-12-07,2003,341,0,5671
IA4502,KNOXVILLE,2003-12-08,2003,342,1,5672
IA4502,KNOXVILLE,2003-12-09,2003,343,6,5678
IA4502,KNOXVILLE,2003-12-10,2003,344,0,5678
IA4502,KNOXVILLE,2003-12-11,2003,345,0,5678
IA4502,KNOXVILLE,2003-12-12,2003,346,0,5678
IA4502,KNOXVILLE,2003-12-13,2003,347,0,5678
IA4502,KNOXVILLE,2003-12-14,2003,348,0,5678
IA4502,KNOXVILLE,2003-12-15,2003,349,0,5678
IA4502,KNOXVILLE,2003-12-16,2003,350,1,5679
IA4502,KNOXVILLE,2003-12-17,2003,351,0,5679
IA4502,KNOXVILLE,2003-12-18,2003,352,0,5679
IA4502,KNOXVILLE,2003-12-19,2003,353,0,5679
IA4502,KNOXVILLE,2003-12-20,2003,354,0,5679
IA4502,KNOXVILLE,2003-12-21,2003,355,1.5,5680.5
IA4502,KNOXVILLE,2003-12-22,2003,356,6.5,5687
IA4502,KNOXVILLE,2003-12-23,2003,357,1,5688
IA4502,KNOXVILLE,2003-12-24,2003,358,0,5688
IA4502,KNOXVILLE,2003-12-25,2003,359,0,5688
IA4502,KNOXVILLE,2003-12-26,2003,360,3,5691
IA4502,KNOXVILLE,2003-12-27,2003,361,3.5,5694.5
IA4502,KNOXVILLE,2003-12-28,2003,362,8,5702.5
IA4502,KNOXVILLE,2003-12-29,2003,363,8,5710.5
IA4502,KNOXVILLE,2003-12-30,2003,364,0,5710.5
IA4502,KNOXVILLE,2003-12-31,2003,365,5.5,5716
IA4502,KNOXVILLE,2004-01-01,2004,1,0,0
IA4502,KNOXVILLE,2004-01-02,2004,2,8,8
IA4502,KNOXVILLE,2004-01-03,2004,3,11.5,19.5
IA4502,KNOXVILLE,2004-01-04,2004,4,0,19.5
IA4502,KNOXVILLE,2004-01-05,2004,5,0,19.5
IA4502,KNOXVILLE,2004-01-06,2004,6,0,19.5
IA4502,KNOXVILLE,2004-01-07,2004,7,0,19.5
IA4502,KNOXVILLE,2004-01-08,2004,8,0,19.5
IA4502,KNOXVILLE,2004-01-09,2004,9,0,19.5
IA4502,KNOXVILLE,2004-01-10,2004,10,0,19.5
IA4502,KNOXVILLE,2004-01-11,2004,11,0,19.5
IA4502,KNOXVILLE,2004-01-12,2004,12,4,23.5
IA4502,KNOXVILLE,2004-01-13,2004,13,2,25.5
IA4502,KNOXVILLE,2004-01-14,2004,14,0,25.5
IA4502,KNOXVILLE,2004-01-15,2004,15,0.5,26
IA4502,KNOXVILLE,2004-01-16,2004,16,0,26
IA4502,KNOXVILLE,2004-01-17,2004,17,0,26
IA4502,KNOXVILLE,2004-01-18,2004,18,0,26
IA4502,KNOXVILLE,2004-01-19,2004,19,0,26
IA4502,KNOXVILLE,2004-01-20,2004,20,0,26
IA4502,KNOXVILLE,2004-01-21,2004,21,0,26
IA4502,KNOXVILLE,2004-01-22,2004,22,3.5,29.5
IA4502,KNOXVILLE,2004-01-23,2004,23,0,29.5
IA4502,KNOXVILLE,2004-01-24,2004,24,6,35.5
IA4502,KNOXVILLE,2004-01-25,2004,25,0,35.5
IA4502,KNOXVILLE,2004-01-26,2004,26,0,35.5
IA4502,KNOXVILLE,2004-01-27,2004,27,0,35.5
IA4502,KNOXVILLE,2004-01-28,2004,28,0,35.5
IA4502,KNOXVILLE,2004-01-29,2004,29,0,35.5
IA4502,KNOXVILLE,2004-01-30,2004,30,0,35.5
IA4502,KNOXVILLE,2004-01-31,2004,31,0,35.5
IA4502,KNOXVILLE,2004-02-01,2004,32,0,35.5
IA4502,KNOXVILLE,2004-02-02,2004,33,0,35.5
IA4502,KNOXVILLE,2004-02-03,2004,34,0,35.5
IA4502,KNOXVILLE,2004-02-04,2004,35,0,35.5
IA4502,KNOXVILLE,2004-02-05,2004,36,0,35.5
IA4502,KNOXVILLE,2004-02-06,2004,37,0,35.5
IA4502,KNOXVILLE,2004-02-07,2004,38,0,35.5
IA4502,KNOXVILLE,2004-02-08,2004,39,0,35.5
IA4502,KNOXVILLE,2004-02-09,2004,40,0,35.5
IA4502,KNOXVILLE,2004-02-10,2004,41,0,35.5
IA4502,KNOXVILLE,2004-02-11,2004,42,0,35.5
IA4502,KNOXVILLE,2004-02-12,2004,43,0,35.5
IA4502,KNOXVILLE,2004-02-13,2004,44,0,35.5
IA4502,KNOXVILLE,2004-02-14,2004,45,0,35.5
IA4502,KNOXVILLE,2004-02-15,2004,46,0,35.5
IA4502,KNOXVILLE,2004-02-16,2004,47,0,35.5
IA4502,KNOXVILLE,2004-02-17,2004,48,0,35.5
IA4502,KNOXVILLE,2004-02-18,2004,49,0,35.5
IA4502,KNOXVILLE,2004-02-19,2004,50,4.5,40
IA4502,KNOXVILLE,2004-02-20,2004,51,6,46
IA4502,KNOXVILLE,2004-02-21,2004,52,0,46
IA4502,KNOXVILLE,2004-02-22,2004,53,2.5,48.5
IA4502,KNOXVILLE,2004-02-23,2004,54,4,52.5
IA4502,KNOXVILLE,2004-02-24,2004,55,0,52.5
IA4502,KNOXVILLE,2004-02-25,2004,56,0,52.5
IA4502,KNOXVILLE,2004-02-26,2004,57,0.5,53
IA4502,KNOXVILLE,2004-02-27,2004,58,3.5,56.5
IA4502,KNOXVILLE,2004-02-28,2004,59,5.5,62
IA4502,KNOXVILLE,2004-02-29,2004,60,9,71
IA4502,KNOXVILLE,2004-03-01,2004,61,12,83
IA4502,KNOXVILLE,2004-03-02,2004,62,6,89
IA4502,KNOXVILLE,2004-03-03,2004,63,0,89
IA4502,KNOXVILLE,2004-03-04,2004,64,0.5,89.5
IA4502,KNOXVILLE,2004-03-05,2004,65,6,95.5
IA4502,KNOXVILLE,2004-03-06,2004,66,15.5,111
